THESIS_ID,SOURCE_ARCHIVE,SOURCE_ROW,m_max,T_min,r_rec,historical_timing_semantics,mapped_t_rec,historical_F1_if_available,historical_F2_if_available,historical_F3_if_available,historical_ND_status_if_recoverable,duplicate_count,source_file,source_hash
T031,HB200,36,0.073573955057170695,45.724573701001646,0.71487786058974934,FIXED_FROM_START,0,14.947366328926361,0.87592898473147907,84.759306718885313,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T032,HB200,37,0.12698178038770469,60.679071226821883,0.6191301058002443,FIXED_FROM_START,0,6.1839347997013299,0.063391269133977496,141.33990483564602,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T033,HB200,38,0.0911107339817534,51.570755886095434,0.36669195485630601,FIXED_FROM_START,0,5.0674037993508252,0.37688381911790758,103.56050311817086,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T034,HB200,39,0.11502154945879429,65.357695444891007,0.3540007243736174,FIXED_FROM_START,0,7.016010309979178,0.019504895374926601,156.88817190759087,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T035,HB200,40,0.16316132892314869,69.356942814949662,0.63690710882316415,FIXED_FROM_START,0,8.3194881517858335,0.0035905619669623998,174.81313007092058,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T036,HB200,41,0.093757575721761896,69.145554464293468,0.53725955828317795,FIXED_FROM_START,0,5.8578353053982708,0.013184936420259001,141.10875604388173,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T037,HB200,42,0.11432301028871809,50.880672345986511,0.0032237427132868002,FIXED_FROM_START,0,7.0185909811641078,0.34268168754402872,124.50707530781006,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T038,HB200,43,0.1829248049187987,69.69187561298908,0.41120251967975457,FIXED_FROM_START,0,10.694528364969557,0.0035777026124521999,204.25156558902344,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T039,HB200,44,0.073562778986456301,45.538669383317369,0.73956376480162922,FIXED_FROM_START,0,16.857368402421635,0.88922185438771806,84.93362037042931,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T040,HB200,45,0.1182379872018991,66.406922990339396,0.55618819042664414,FIXED_FROM_START,0,6.5515162823900468,0.0154878205105179,150.72019977744409,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T041,HB200,47,0.094255649105904907,46.22876288325439,0.68180125997977914,FIXED_FROM_START,0,9.9760222118928361,0.77188701773366486,90.852588948925273,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T042,HB200,48,0.19008660277122111,69.805226122799411,0.25047558250020258,FIXED_FROM_START,0,12.581920917605062,0.0035363677241393998,229.95198338835371,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T043,HB200,49,0.18147771522912601,69.43972945742135,0.31087309061972612,FIXED_FROM_START,0,11.675724212608532,0.0035234966969316999,218.93444903335924,NO,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
T044,HB200,50,0.073565381349814996,45.691978277574528,0.69751663868184177,FIXED_FROM_START,0,14.463354453171361,0.8739978008035485,84.296442613336751,YES,1,03_original_model/05_outputs_historicos/final_pop_HB200.mat|03_original_model/05_outputs_historicos/scores_HB200.mat,CA40083629C97A7851A15219F46ACF22C7C5AFE4EC09190E5BBA9618106977B9|F1D4A1AD85A533CE41D87FEAA04651B9604607E3D3F527EA5A3FCDA11971FD9B
