THESIS_ID,phase,mode,m_max,T_min,r_rec,t_rec_or_historical_equivalent,terminal_time,terminal_regime,M_terminal,MR_terminal,water_removed_kg,useful_auxiliary_heat_MJ,LPG_energy_input_MJ,LPG_mass_kg,LPG_cost_USD,solar_cost_USD,impeller_electricity_kWh,electricity_cost_USD,total_cost_USD,total_operational_emissions_kgCO2e,f1,f2,f3,penalty_flag,nonphysical_flag,status,notes,current_rank,CURRENT_ND
T001,BASELINE,hybrid,0.190086602771221,69.805226122799397,0.00047558250020250003,0,17,M_DES_REACHED,0.11050396537761301,0.0035649041255220002,171.126896900182,3127.7199166127298,4009.8973289906799,86.86952619130598,97.255170810665291,6.1648666121330997,17.510000000000002,1.2557861266949,104.675823549493,268.38301857391798,0.0035649041255220002,0.61168539514013687,1.5683275010267099,0,0,OK,Productive objective v96j_fix1; no optimizer,3,NO
T017,BASELINE,hybrid,0.18134203835948401,68.650489380596298,0.52408658859194401,0,18.5,M_DES_REACHED,0.110474253319037,0.0035604059455150001,171.12766941370501,2009.32401614487,2576.05643095496,55.807115055350096,62.4791079809265,6.1648666121330997,19.055,1.3665907849326799,70.010565377992194,175.88176516605,0.0035604059455150001,0.40911306522114788,1.02778098812795,0,0,OK,Productive objective v96j_fix1; no optimizer,2,NO
T018,BASELINE,hybrid,0.17857742518074191,69.160543782904597,0.486395377800171,0,18.100000000000001,M_DES_REACHED,0.110686288638769,0.0035925064825276,171.12215649539201,2027.4190256090601,2599.2551610372602,56.3096871975144,63.041764894965901,6.1648666121330997,18.643000000000001,1.3370428760692701,70.543674383168295,177.206553592543,0.0035925064825276,0.412241616327854,1.0355558696884199,0,0,OK,Productive objective v96j_fix1; no optimizer,3,NO
T019,BASELINE,hybrid,0.16212534458660091,53.284602721645904,0.49381668479224988,0,19.899999999999999,TMAX_REACHED,1.0331177805184499,0.14324162854431191,147.13893770652001,1183.77406986652,1517.65906393143,32.878229287942602,36.808970251654202,6.1648666121330997,20.497,1.47000846595462,44.443845329741897,107.735355863828,0.14324162854431191,0.30205359656998793,0.73220153375521901,0,0,OK,Productive objective v96j_fix1; no optimizer,4,NO
T020,BASELINE,hybrid,0.073564172221545904,45.189712343039801,0.69906168371301303,0,19.899999999999999,TMAX_REACHED,5.7595493545919698,0.85878747191037985,24.2517167806087,248.737467893158,318.894189606613,6.9084529810791295,7.7343897701555999,6.1648666121330997,20.497,1.47000846595462,15.369264848243301,29.826026943237402,0.85878747191037985,0.63373925183442403,1.22985218791132,0,0,OK,Productive objective v96j_fix1; no optimizer,13,NO
T021,BASELINE,hybrid,0.185552936023854,69.709582417248598,0.36175966426841488,0,17.300000000000001,M_DES_REACHED,0.11108254615845101,0.0036524968614565002,171.11185379988001,2301.4492821583999,2950.5760027671799,63.920623976758797,71.562623577497405,6.1648666121330997,17.818999999999999,1.2779470583424599,79.005437247972992,199.673507930276,0.0036524968614565002,0.46171808377677892,1.1669180334157301,0,0,OK,Productive objective v96j_fix1; no optimizer,4,NO
T022,BASELINE,hybrid,0.073562131420663507,45.690027209116494,0.69858021915498003,0,19.899999999999999,TMAX_REACHED,5.5947486630982599,0.83383789886905202,28.536534759445296,266.100240487093,341.154154470631,7.3906879218074399,8.2742780783768186,6.1648666121330997,20.497,1.47000846595462,15.9091531564645,31.2727317654223,0.83383789886905202,0.55750122748168485,1.0958839967446099,0,0,OK,Productive objective v96j_fix1; no optimizer,8,NO
T023,BASELINE,hybrid,0.110642896009325,59.8438530909918,0.26771747889775388,0,19.899999999999999,TMAX_REACHED,0.548558136873455,0.069882978696285,159.73748844129,1134.3763313274601,1454.3286299070101,31.5062528142766,35.272967787444202,6.1648666121330997,20.497,1.47000846595462,42.907842865531897,103.61942644283,0.069882978696285,0.26861473336174402,0.64868571212645487,0,0,OK,Productive objective v96j_fix1; no optimizer,3,NO
T024,BASELINE,hybrid,0.075230760140142197,52.8374902258834,0.57716925684666287,0,19.899999999999999,TMAX_REACHED,2.9637147509360302,0.43551934710373302,96.943416475663298,482.931074455925,619.14240314862195,13.4129636730637,15.016544124211199,6.1648666121330997,20.497,1.47000846595462,22.6514192022989,49.339559019191199,0.43551934710373302,0.23365608543397401,0.50895213736950795,0,0,OK,Productive objective v96j_fix1; no optimizer,4,NO
T025,BASELINE,hybrid,0.077283581084795799,66.839474122440095,0.33527438350425492,0,19.899999999999999,TMAX_REACHED,0.30961823995328203,0.033709293035965301,165.94992576121501,925.25500971530494,1186.22437142988,25.698101634096201,28.770425873279301,6.1648666121330997,20.497,1.47000846595462,36.405300951367003,86.194972902288512,0.033709293035965301,0.21937521685758701,0.51940350383955203,0,0,OK,Productive objective v96j_fix1; no optimizer,1,YES
T026,BASELINE,hybrid,0.128016326218657,54.056565157662597,0.67319397434474904,0,19.899999999999999,TMAX_REACHED,1.4392965540124001,0.204734009949218,136.578289595678,914.30210162282685,1172.1821815677299,25.393894748000999,28.429849678540901,6.1648666121330997,20.497,1.47000846595462,36.0647247566286,85.282352244003107,0.204734009949218,0.26405898670567302,0.62442100055924288,0,0,OK,Productive objective v96j_fix1; no optimizer,3,NO
T027,BASELINE,hybrid,0.078812126706852101,50.851574268469498,0.41309940625120101,0,19.899999999999999,TMAX_REACHED,3.0105564525031494,0.44261082496123588,95.725532234918205,426.19273283510802,546.40093953219002,11.8371087420319,13.2522886112615,6.1648666121330997,20.497,1.47000846595462,20.887163689349201,44.611994226095597,0.44261082496123588,0.218198459718045,0.46604070183296692,0,0,OK,Productive objective v96j_fix1; no optimizer,3,NO
