14.32	45.38	32.83
14.32	45.38	32.86
14.33	45.41	32.76
14.33	45.50	32.85
14.35	45.60	32.84
14.35	45.64	32.83
14.37	45.73	32.93
14.37	45.81	32.93
14.38	45.86	33.15
14.38	45.92	33.02
14.40	45.97	33.13
14.40	45.99	33.10
14.42	45.95	33.33
14.42	45.94	33.10
14.43	45.95	33.33
14.43	45.94	33.07
14.45	45.94	33.31
14.50	45.90	33.32
14.50	45.92	33.51
14.52	45.91	33.37
14.52	45.91	33.72
14.53	45.89	33.45
14.53	45.85	33.50
14.55	45.80	33.46
14.55	45.72	33.52
14.57	45.68	33.46
14.57	45.66	33.31
14.58	45.67	33.36
14.58	45.61	33.41
14.60	45.55	33.36
14.60	45.51	33.42
14.62	45.47	33.47
14.62	45.42	33.33
14.63	45.39	33.37
14.63	45.34	33.42
14.65	45.28	33.37
14.65	45.22	33.40
14.67	45.14	33.45
14.67	45.12	33.40
14.68	45.17	33.43
14.68	45.28	33.31
14.70	45.40	33.48
14.70	45.46	33.40
14.72	45.41	33.41
14.72	45.24	33.66
14.73	45.06	33.51
14.73	44.98	33.45
14.75	45.02	33.51
14.75	45.13	33.46
14.77	45.28	33.51
14.77	45.37	33.64
14.78	45.29	33.52
14.78	45.05	33.47
14.80	44.80	33.41
14.80	44.59	33.27
14.82	44.46	33.43
14.82	44.29	33.36
14.83	44.23	33.33
14.83	44.29	33.27
14.85	44.45	33.43
14.85	44.62	33.27
14.87	44.73	33.41
14.87	44.74	33.27
14.88	44.73	33.31
14.88	44.76	33.29
14.90	44.74	33.13
14.90	44.70	33.28
14.92	44.65	33.33
14.92	44.61	33.36
14.93	44.63	33.41
14.93	44.68	33.53
14.95	44.74	33.50
14.95	44.81	33.50
14.97	44.85	33.49
14.97	44.80	33.71
14.98	44.78	33.50
14.98	44.79	33.72
15.00	44.79	33.48
15.00	44.77	33.52
15.02	44.72	33.46
15.02	44.66	33.70
15.03	44.63	33.45
15.03	44.61	33.51
15.05	44.58	33.46
15.05	44.49	33.71
15.07	44.40	33.35
15.07	44.38	33.50
15.08	44.37	33.37
