seed,row,source,x,f,inclusion,reason
61002,33,population,"[0.13934091704526777, 57.92116003646613, 0.20073942827721225, 2.046057323301471]","[0.06609137669125806, 0.33612706123815717, 0.8298829393106972]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,1,returned,"[0.07198136142766258, 56.79466155343445, 0.6674584238991281, 12.649098848121929]","[0.22736739129222333, 0.18288767994676008, 0.40447522894768895]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,2,returned,"[0.07197754810898062, 54.70309320726457, 0.7160829447404511, 12.871995103658183]","[0.2855208662368561, 0.18396866391143404, 0.4004048587704998]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,3,returned,"[0.11225699971087771, 66.80582854089694, 0.6777933701381792, 12.736068967572452]","[0.011414662921359944, 0.3119079619274894, 0.7689012134357766]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,4,returned,"[0.19255667383656297, 66.82919510589754, 0.7741112230151715, 12.826784156175757]","[0.003536901054986336, 0.5320823865411496, 1.3588114281512527]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,5,returned,"[0.16673936500496983, 66.8103251180672, 0.7052223721967823, 12.744265279965528]","[0.004221281697175431, 0.4711374994519213, 1.1960618835610777]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,6,returned,"[0.15093046785300523, 66.80730426966575, 0.6864868884399452, 12.743406454284129]","[0.005325019260407343, 0.4262291189944005, 1.0756500164396436]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,7,returned,"[0.07462339749861595, 60.60931734093549, 0.7584256122010291, 12.655086465491147]","[0.1402663952994768, 0.18960208877285714, 0.4311394205127147]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,8,returned,"[0.12772009858682865, 66.80595597038837, 0.6975333077253107, 12.74125379996531]","[0.00812071868444575, 0.3555180654417655, 0.885982636995701]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,9,returned,"[0.09148182540042017, 64.4668961606526, 0.7436033845826252, 12.831804316531295]","[0.038637006057707146, 0.23805197546971513, 0.5690996223335708]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,10,population,"[0.07198136142766258, 56.79466155343445, 0.6674584238991281, 12.649098848121929]","[0.22736739129222333, 0.18288767994676008, 0.40447522894768895]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,11,population,"[0.19856547016619808, 66.84487002811292, 0.7709990380087541, 12.554868444680361]","[0.0035398818319486948, 0.5411952677008471, 1.3829273126722228]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,12,population,"[0.19984984588922775, 66.89530756931792, 0.7663416214265316, 12.653841057734528]","[0.003551952335944166, 0.5466993152450479, 1.3975237811987151]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,13,population,"[0.07197754810898062, 54.76559320726457, 0.8410829447404511, 12.871995103658183]","[0.30362100024871086, 0.1872739058117307, 0.40685579332636285]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,14,population,"[0.07197754810898062, 54.70309320726457, 0.7160829447404511, 12.871995103658183]","[0.2855208662368561, 0.18396866391143404, 0.4004048587704998]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,15,population,"[0.19515260293188472, 61.84686740518947, 0.5582039387325186, 12.700316329482616]","[0.012997193799064848, 0.5115085967685438, 1.3036512460838188]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,16,population,"[0.11225699971087771, 66.80582854089694, 0.6777933701381792, 12.736068967572452]","[0.011414662921359944, 0.3119079619274894, 0.7689012134357766]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,17,population,"[0.07359414487167325, 56.04679987682398, 0.6980506016467926, 12.790845194133942]","[0.24614377409998456, 0.18617931340294674, 0.41116362811682206]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,18,population,"[0.09758039971129145, 61.83078356043431, 0.7436593957972728, 12.79175194109156]","[0.06156743436966297, 0.24236378455178276, 0.5789727543906052]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,19,population,"[0.0841665121838716, 58.67566312013857, 0.722746603800058, 12.660246739684535]","[0.15467784373310672, 0.20659523757011203, 0.4753634347695364]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,20,population,"[0.11048538617973619, 55.840238327039486, 0.7165256057776763, 12.855611673974446]","[0.15731863641330854, 0.25445483170230715, 0.6033646075634848]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,21,population,"[0.19255667383656297, 66.82919510589754, 0.7741112230151715, 12.826784156175757]","[0.003536901054986336, 0.5320823865411496, 1.3588114281512527]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,22,population,"[0.1477180145040403, 65.27484944940016, 0.7378266084523999, 12.821609239885841]","[0.00901127940583028, 0.3962053140959176, 0.9949497844319583]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,23,population,"[0.16673936500496983, 66.8103251180672, 0.7052223721967823, 12.744265279965528]","[0.004221281697175431, 0.4711374994519213, 1.1960618835610777]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,24,population,"[0.13103105790166664, 63.05194812804724, 0.7344672334908632, 12.687319398058621]","[0.02252452831518836, 0.3307945742913913, 0.8187501179335424]",INCLUDED_BEFORE_EXACT_DEDUP,
61003,25,population,"[0.15093046785300523, 66.80730426966575, 0.6864868884399452, 12.743406454284129]","[0.005325019260407343, 0.4262291189944005, 1.0756500164396436]",INCLUDED_BEFORE_EXACT_DEDUP,
