h_id,c_id,exact_classification,h_f1,h_f2,h_f3,c_f1,c_f2,c_f3,delta_f1_C_minus_H,delta_f2_C_minus_H,delta_f3_C_minus_H,abs_delta_f1,abs_delta_f2,abs_delta_f3,tau_f1,tau_f2,tau_f3,near_tie_f1,near_tie_f2,near_tie_f3,near_tie_objective_count_pair,pair_has_near_tie,strict_improvement_objectives,dominance_relation_numerically_fragile
H06,C06,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.02239970549598287,0.2413384494217395,0.5790487923268146,-0.10529579294078763,0.058016669034554574,0.16362973789102198,0.10529579294078763,0.058016669034554574,0.16362973789102198,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H06,C07,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.026511805459522943,0.22338322638493963,0.5306495452737388,-0.10118369297724755,0.04006144599775471,0.11523049083794612,0.10118369297724755,0.04006144599775471,0.11523049083794612,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H06,C08,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.018219453240328243,0.2547257477103099,0.6152099405567468,-0.10947604519644226,0.07140396732312501,0.1997908861209542,0.10947604519644226,0.07140396732312501,0.1997908861209542,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H06,C09,INCOMPARABLE,0.1276954984367705,0.1833217803871849,0.41541905443579263,0.06592893450793702,0.1898535301772997,0.43793525200889427,-0.06176656392883348,0.0065317497901147825,0.022516197573101637,0.06176656392883348,0.0065317497901147825,0.022516197573101637,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H07,C01,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.015163555853391462,0.2712071587404825,0.6595831664180842,-0.06100899425024822,0.08383459955078118,0.22908110073571508,0.06100899425024822,0.08383459955078118,0.22908110073571508,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H07,C02,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.019352721600902414,-0.0026527938948427976,-0.008640277186713674,0.019352721600902414,0.0026527938948427976,0.008640277186713674,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H07,C03,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.02150986584244971,-0.002620068141419185,-0.00872739030272679,0.02150986584244971,0.002620068141419185,0.00872739030272679,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H07,C04,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.035509414628851016,0.19958292469520714,0.4662395996524617,-0.04066313547478867,0.012210365505505805,0.03573753397009255,0.04066313547478867,0.012210365505505805,0.03573753397009255,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H07,C05,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.028886799370315748,0.21733365919792744,0.5142727514952378,-0.04728575073332394,0.029961100008226105,0.08377068581286862,0.04728575073332394,0.029961100008226105,0.08377068581286862,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
H07,C06,INCOMPARABLE,0.07617255010363969,0.18737255918970133,0.43050206568236915,0.02239970549598287,0.2413384494217395,0.5790487923268146,-0.053772844607656814,0.053965890232038155,0.14854672664444546,0.053772844607656814,0.053965890232038155,0.14854672664444546,1e-12,1e-12,1e-12,False,False,False,0,False,,NOT_APPLICABLE
