set,solution_a,solution_b,a_f1,a_f2,a_f3,b_f1,b_f2,b_f3,relation
C,C01,C05,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.028886799370315748,0.21733365919792744,0.5142727514952378,INCOMPARABLE
C,C01,C06,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.02239970549598287,0.2413384494217395,0.5790487923268146,INCOMPARABLE
C,C01,C07,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.026511805459522943,0.22338322638493963,0.5306495452737388,INCOMPARABLE
C,C01,C08,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.018219453240328243,0.2547257477103099,0.6152099405567468,INCOMPARABLE
C,C01,C09,0.015163555853391462,0.2712071587404825,0.6595831664180842,0.06592893450793702,0.1898535301772997,0.43793525200889427,INCOMPARABLE
C,C02,C03,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.0976824159460894,0.18475249104828215,0.42177467537964236,INCOMPARABLE
C,C02,C04,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.035509414628851016,0.19958292469520714,0.4662395996524617,INCOMPARABLE
C,C02,C05,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.028886799370315748,0.21733365919792744,0.5142727514952378,INCOMPARABLE
C,C02,C06,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.02239970549598287,0.2413384494217395,0.5790487923268146,INCOMPARABLE
C,C02,C07,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.026511805459522943,0.22338322638493963,0.5306495452737388,INCOMPARABLE
C,C02,C08,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.018219453240328243,0.2547257477103099,0.6152099405567468,INCOMPARABLE
C,C02,C09,0.0955252717045421,0.18471976529485853,0.4218617884956555,0.06592893450793702,0.1898535301772997,0.43793525200889427,INCOMPARABLE
C,C03,C04,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.035509414628851016,0.19958292469520714,0.4662395996524617,INCOMPARABLE
C,C03,C05,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.028886799370315748,0.21733365919792744,0.5142727514952378,INCOMPARABLE
C,C03,C06,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.02239970549598287,0.2413384494217395,0.5790487923268146,INCOMPARABLE
C,C03,C07,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.026511805459522943,0.22338322638493963,0.5306495452737388,INCOMPARABLE
C,C03,C08,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.018219453240328243,0.2547257477103099,0.6152099405567468,INCOMPARABLE
C,C03,C09,0.0976824159460894,0.18475249104828215,0.42177467537964236,0.06592893450793702,0.1898535301772997,0.43793525200889427,INCOMPARABLE
C,C04,C05,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.028886799370315748,0.21733365919792744,0.5142727514952378,INCOMPARABLE
C,C04,C06,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.02239970549598287,0.2413384494217395,0.5790487923268146,INCOMPARABLE
C,C04,C07,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.026511805459522943,0.22338322638493963,0.5306495452737388,INCOMPARABLE
C,C04,C08,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.018219453240328243,0.2547257477103099,0.6152099405567468,INCOMPARABLE
C,C04,C09,0.035509414628851016,0.19958292469520714,0.4662395996524617,0.06592893450793702,0.1898535301772997,0.43793525200889427,INCOMPARABLE
C,C05,C06,0.028886799370315748,0.21733365919792744,0.5142727514952378,0.02239970549598287,0.2413384494217395,0.5790487923268146,INCOMPARABLE
C,C05,C07,0.028886799370315748,0.21733365919792744,0.5142727514952378,0.026511805459522943,0.22338322638493963,0.5306495452737388,INCOMPARABLE
C,C05,C08,0.028886799370315748,0.21733365919792744,0.5142727514952378,0.018219453240328243,0.2547257477103099,0.6152099405567468,INCOMPARABLE
C,C05,C09,0.028886799370315748,0.21733365919792744,0.5142727514952378,0.06592893450793702,0.1898535301772997,0.43793525200889427,INCOMPARABLE
C,C06,C07,0.02239970549598287,0.2413384494217395,0.5790487923268146,0.026511805459522943,0.22338322638493963,0.5306495452737388,INCOMPARABLE
C,C06,C08,0.02239970549598287,0.2413384494217395,0.5790487923268146,0.018219453240328243,0.2547257477103099,0.6152099405567468,INCOMPARABLE
C,C06,C09,0.02239970549598287,0.2413384494217395,0.5790487923268146,0.06592893450793702,0.1898535301772997,0.43793525200889427,INCOMPARABLE
C,C07,C08,0.026511805459522943,0.22338322638493963,0.5306495452737388,0.018219453240328243,0.2547257477103099,0.6152099405567468,INCOMPARABLE
C,C07,C09,0.026511805459522943,0.22338322638493963,0.5306495452737388,0.06592893450793702,0.1898535301772997,0.43793525200889427,INCOMPARABLE
C,C08,C09,0.018219453240328243,0.2547257477103099,0.6152099405567468,0.06592893450793702,0.1898535301772997,0.43793525200889427,INCOMPARABLE
